"filename", "language", "C++", "Batch", "C", "comment", "blank", "total"
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1128.c", "C", 0, 0, 73, 0, 0, 73
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1129.c", "C", 0, 0, 21, 0, 0, 21
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1130.c", "C", 0, 0, 23, 0, 0, 23
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1131.c", "C", 0, 0, 23, 0, 0, 23
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1132.c", "C", 0, 0, 31, 0, 0, 31
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1133.c", "C", 0, 0, 20, 0, 0, 20
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1134.c", "C", 0, 0, 24, 0, 0, 24
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1135.c", "C", 0, 0, 33, 0, 0, 33
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1136.c", "C", 0, 0, 17, 0, 0, 17
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1137.c", "C", 0, 0, 24, 0, 0, 24
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1138.c", "C", 0, 0, 29, 0, 0, 29
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1139.c", "C", 0, 0, 9, 0, 0, 9
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1140.c", "C", 0, 0, 23, 0, 0, 23
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1141.c", "C", 0, 0, 22, 0, 1, 23
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1142.c", "C", 0, 0, 18, 0, 1, 19
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1143.c", "C", 0, 0, 30, 0, 0, 30
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1144.c", "C", 0, 0, 21, 0, 0, 21
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1145.c", "C", 0, 0, 32, 0, 0, 32
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1146.c", "C", 0, 0, 27, 0, 0, 27
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1147.c", "C", 0, 0, 23, 0, 0, 23
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1148.c", "C", 0, 0, 13, 0, 0, 13
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1149.c", "C", 0, 0, 19, 0, 0, 19
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1150.c", "C", 0, 0, 19, 0, 0, 19
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1151.c", "C", 0, 0, 25, 0, 0, 25
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1152.c", "C", 0, 0, 16, 0, 0, 16
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1153.c", "C", 0, 0, 15, 0, 0, 15
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1154.c", "C", 0, 0, 13, 0, 0, 13
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1155.c", "C", 0, 0, 25, 0, 0, 25
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1156.c", "C", 0, 0, 29, 0, 0, 29
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1157.c", "C", 0, 0, 26, 0, 0, 26
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1158.c", "C", 0, 0, 31, 0, 1, 32
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1159.c", "C", 0, 0, 21, 0, 0, 21
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1160.c", "C", 0, 0, 36, 0, 0, 36
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1161.c", "C", 0, 0, 17, 0, 0, 17
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1162.c", "C", 0, 0, 20, 0, 0, 20
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1163.c", "C", 0, 0, 27, 0, 0, 27
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1164.c", "C", 0, 0, 37, 0, 0, 37
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1165.c", "C", 0, 0, 32, 0, 0, 32
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1166.c", "C", 0, 0, 17, 0, 0, 17
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1167.c", "C", 0, 0, 29, 0, 0, 29
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1168.c", "C", 0, 0, 26, 0, 0, 26
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1169.c", "C", 0, 0, 17, 0, 0, 17
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1170.c", "C", 0, 0, 22, 0, 0, 22
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1171.c", "C", 0, 0, 30, 0, 0, 30
